StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
110,0,199005,3.83,58.86,1.25,1.25,3.19,1.25,91,193,1.72,1.16,1.08,0.79,0.26,0.64,-0.15,46.83,70.9
110,0,199006,2.5,70.23,-0.5,0.62,-1.5,-0.37,233,33,-1,0.6,0.43,1.25,-0.12,0.04,0.09,57.22,83.25
110,0,199007,2.94,73.26,-0.25,0.75,0.59,0.08,315,7,0.39,-0.5,0.62,0.91,0.11,0.06,0.14,60.76,85.75
110,0,199008,2.65,72.28,-0.14,0.76,0.26,0.19,289,12,0.1,0.25,-0.42,0.51,0.42,0.03,0.17,59.63,84.9
110,0,199009,2.04,67.35,-0.8,-0.8,-2.02,-0.8,171,59,-0.99,-0.68,-0.37,0.06,0.83,-0.26,-0.07,54.34,80.37
110,0,199010,2.76,53.98,0.57,0.57,1.72,0.57,55,250,0.9,0.11,0.11,0.46,0.76,0.15,0.33,40.71,67.23
110,0,199011,2.09,44.92,0.25,0.25,-0.8,-0.39,18,467,-0.23,0.47,-0.03,-0.29,0.31,0.29,0.01,32.97,56.89
110,0,199012,2.69,30.83,0.49,0.49,0.78,0.49,10,796,0.56,0.22,0.62,0.25,0.38,0.94,0.34,19.8,41.86
110,0,199101,2.37,29.48,0.78,0.78,1.02,0.78,11,913,0.21,0.51,0.27,0.22,0.47,0.7,0.42,19.72,39.25
110,0,199102,1.64,39.81,0.1,0.1,-1.78,-0.59,10,628,-1.1,-0.57,-0.05,-0.07,-0.26,0.23,0.31,28,51.6
110,0,199103,3.33,43.32,0.74,0.74,1.94,0.74,21,568,1.62,0.57,0.56,0.8,0.47,0.53,0.43,31.93,54.73
110,0,199104,3.35,52.54,1.34,1.34,2.04,1.34,45,297,1.73,1.97,1.28,1.01,0.86,0.97,0.83,40.66,64.4
110,0,199105,3.72,61.97,1.76,1.76,1.68,1.76,147,113,1.53,1.99,2.23,1.64,1.21,0.9,0.94,50.4,73.54
110,0,199106,2.84,69.08,1.53,1.53,-0.15,1.38,230,36,-0.28,0.93,1.58,1.45,1.39,1.05,0.7,56.84,81.3
110,0,199107,2.7,73.89,1.48,1.48,0.31,1.4,333,7,-0.28,-0.36,0.61,1.26,1.05,0.92,0.65,61.14,86.63
110,0,199108,2.6,72.99,1.3,1.3,-0.09,1.1,300,9,-0.04,-0.29,-0.35,1.79,1.22,0.91,0.62,60.26,85.71
110,0,199109,2.53,64.9,1.21,1.21,0.15,1.02,151,72,0.08,0.04,-0.1,1.06,1.13,1.17,0.58,52.25,77.56
110,0,199110,2.1,54.75,1.02,1.02,-0.21,0.64,62,244,-0.17,-0.09,-0.12,0.3,0.89,0.85,0.67,41.4,68.09
110,0,199111,2.49,39.43,1.19,1.19,0.85,1.17,9,590,0.44,0.18,0.17,-0.1,1.26,1.03,0.89,29.39,49.46
110,0,199112,2.77,35.74,1.4,1.4,0.99,1.4,10,749,0.71,0.75,0.47,0.26,0.96,1.08,1.25,26.1,45.37
110,0,199201,2.08,33.62,1.43,1.43,0.51,1.43,6,844,-0.34,0.25,0.44,0.2,0.45,0.88,1.01,23.72,43.52
110,0,199202,2.32,39.7,1.33,1.33,0.16,1.33,10,634,0.46,0.02,0.47,0.38,0.13,1.21,0.91,29.34,50.07
110,0,199203,2.51,44.71,-0.33,0.86,-1,0.2,16,596,0.08,0.38,0.06,0.4,0.24,0.85,0.88,33.04,56.35
110,0,199204,2.06,52.54,-0.86,-0.86,-1.69,-0.86,29,344,-1.07,-0.58,-0.2,0.23,0.08,0.3,0.76,40.08,64.96
110,0,199205,2.29,61.16,-1.45,-1.45,-2.03,-1.45,80,158,-1.34,-1.66,-1.15,-0.49,-0.26,-0.35,0.34,48.04,74.28
110,0,199206,3.39,67.44,0.56,-0.74,1.68,0.26,171,49,1.01,-0.28,-0.69,-0.51,-0.09,-0.13,0.59,55.08,79.77
110,0,199207,3.65,71.22,1.63,1.63,3.39,1.63,288,17,2.45,2.2,0.69,0.21,0.4,0.27,0.79,59.4,83.03
110,0,199208,2.9,69.84,2.38,2.38,2.74,2.38,231,27,0.75,2.33,2.28,0.26,0.44,0.42,0.87,57.34,82.35
110,0,199209,2.33,64.67,2.14,2.14,0.02,2.08,152,78,-0.36,0.2,1.26,0.19,0.14,0.33,0.97,51.8,77.52
110,0,199210,1.67,54.54,1.56,1.56,-1.08,0.97,49,301,-0.92,-0.85,-0.47,0.11,-0.09,0.15,0.67,41.45,67.6
110,0,199211,3.27,40.06,2.51,2.51,3.34,2.51,14,571,1.71,0.57,0.3,1.32,0.34,0.49,1.02,30.92,49.19
110,0,199212,2.79,31.75,3.3,3.3,3.13,3.3,8,825,0.74,1.6,0.78,1.2,0.57,0.51,1.01,22.6,40.87
110,0,199301,3.2,30.47,4.34,4.34,4.14,4.34,13,853,1.62,1.61,2.07,1.2,1.29,0.98,1.16,21.33,39.61
